x-axis,1,2,3
second,Volt,Volt,Volt
-53.35000E-03,+2.35000002E+00,+2.15625000E+00,+2.34999990E+00
-53.30000E-03,+2.41250002E+00,+2.31250000E+00,+2.41249990E+00
-53.25000E-03,+2.44375002E+00,+2.31250000E+00,+2.47499990E+00
-53.20000E-03,+2.47500002E+00,+2.37500000E+00,+2.50624990E+00
-53.15000E-03,+2.50625002E+00,+2.43750000E+00,+2.56874990E+00
-53.10000E-03,+2.50625002E+00,+2.50000000E+00,+2.63124990E+00
-53.05000E-03,+2.53750002E+00,+2.50000000E+00,+2.63124990E+00
-53.00000E-03,+2.56875002E+00,+2.59375000E+00,+2.66249990E+00
-52.95000E-03,+2.53750002E+00,+2.62500000E+00,+2.69374990E+00
-52.90000E-03,+2.47500002E+00,+2.62500000E+00,+2.75624990E+00
-52.85000E-03,+2.47500002E+00,+2.68750000E+00,+2.72499990E+00
-52.80000E-03,+2.47500002E+00,+2.65625000E+00,+2.72499990E+00
-52.75000E-03,+2.41250002E+00,+2.68750000E+00,+2.69374990E+00
-52.70000E-03,+2.41250002E+00,+2.68750000E+00,+2.66249990E+00
-52.65000E-03,+2.38125002E+00,+2.68750000E+00,+2.66249990E+00
-52.60000E-03,+2.28750002E+00,+2.65625000E+00,+2.59999990E+00
-52.55000E-03,+2.22500002E+00,+2.62500000E+00,+2.53749990E+00
-52.50000E-03,+2.16250002E+00,+2.62500000E+00,+2.47499990E+00
-52.45000E-03,+2.06875002E+00,+2.53125000E+00,+2.44374990E+00
-52.40000E-03,+2.00625002E+00,+2.53125000E+00,+2.38124990E+00
-52.35000E-03,+1.91250002E+00,+2.43750000E+00,+2.25624990E+00
-52.30000E-03,+1.85000002E+00,+2.37500000E+00,+2.16249990E+00
-52.25000E-03,+1.75625002E+00,+2.28125000E+00,+2.06874990E+00
-52.20000E-03,+1.66250002E+00,+2.21875000E+00,+2.00624990E+00
-52.15000E-03,+1.56875002E+00,+2.12500000E+00,+1.94374990E+00
-52.10000E-03,+1.47500002E+00,+2.03125000E+00,+1.81874990E+00
-52.05000E-03,+1.38125002E+00,+1.87500000E+00,+1.66249990E+00
-52.00000E-03,+1.31875002E+00,+1.81250000E+00,+1.56874990E+00
-51.95000E-03,+1.19375002E+00,+1.71875000E+00,+1.50624990E+00
-51.90000E-03,+1.13125002E+00,+1.62500000E+00,+1.34999990E+00
-51.85000E-03,+1.06875002E+00,+1.50000000E+00,+1.22499990E+00
-51.80000E-03,+1.00625002E+00,+1.40625000E+00,+1.13124990E+00
-51.75000E-03,+881.25002E-03,+1.25000000E+00,+1.03749990E+00
-51.70000E-03,+818.75002E-03,+1.15625000E+00,+943.74990E-03
-51.65000E-03,+787.50002E-03,+1.06250000E+00,+818.74990E-03
-51.60000E-03,+725.00002E-03,+1.00000000E+00,+724.99990E-03
-51.55000E-03,+725.00002E-03,+875.00000E-03,+693.74990E-03
-51.50000E-03,+662.50002E-03,+812.50000E-03,+599.99990E-03
-51.45000E-03,+725.00002E-03,+750.00000E-03,+568.74990E-03
-51.40000E-03,+725.00002E-03,+687.50000E-03,+506.24990E-03
-51.35000E-03,+725.00002E-03,+593.75000E-03,+474.99990E-03
-51.30000E-03,+756.25002E-03,+593.75000E-03,+474.99990E-03
-51.25000E-03,+756.25002E-03,+500.00000E-03,+474.99990E-03
-51.20000E-03,+818.75002E-03,+500.00000E-03,+506.24990E-03
-51.15000E-03,+850.00002E-03,+468.75000E-03,+537.49990E-03
-51.10000E-03,+975.00002E-03,+562.50000E-03,+537.49990E-03
-51.05000E-03,+1.00625002E+00,+531.25000E-03,+599.99990E-03
-51.00000E-03,+1.10000002E+00,+562.50000E-03,+662.49990E-03
-50.95000E-03,+1.22500002E+00,+593.75000E-03,+756.24990E-03
-50.90000E-03,+1.28750002E+00,+687.50000E-03,+849.99990E-03
-50.85000E-03,+1.41250002E+00,+750.00000E-03,+974.99990E-03
-50.80000E-03,+1.50625002E+00,+875.00000E-03,+1.06874990E+00
-50.75000E-03,+1.63125002E+00,+968.75000E-03,+1.16249990E+00
-50.70000E-03,+1.69375002E+00,+1.03125000E+00,+1.31874990E+00
-50.65000E-03,+1.85000002E+00,+1.15625000E+00,+1.47499990E+00
-50.60000E-03,+1.94375002E+00,+1.31250000E+00,+1.59999990E+00
-50.55000E-03,+2.03750002E+00,+1.40625000E+00,+1.72499990E+00
-50.50000E-03,+2.16250002E+00,+1.56250000E+00,+1.88124990E+00
-50.45000E-03,+2.22500002E+00,+1.68750000E+00,+2.03749990E+00
-50.40000E-03,+2.35000002E+00,+1.84375000E+00,+2.16249990E+00
-50.35000E-03,+2.38125002E+00,+1.96875000E+00,+2.28749990E+00
-50.30000E-03,+2.41250002E+00,+2.12500000E+00,+2.41249990E+00
-50.25000E-03,+2.50625002E+00,+2.21875000E+00,+2.50624990E+00
-50.20000E-03,+2.47500002E+00,+2.34375000E+00,+2.63124990E+00
-50.15000E-03,+2.53750002E+00,+2.43750000E+00,+2.72499990E+00
-50.10000E-03,+2.53750002E+00,+2.56250000E+00,+2.78749990E+00
-50.05000E-03,+2.50625002E+00,+2.62500000E+00,+2.84999990E+00
-50.00000E-03,+2.47500002E+00,+2.68750000E+00,+2.88124990E+00
-49.95000E-03,+2.44375002E+00,+2.75000000E+00,+2.88124990E+00
-49.90000E-03,+2.38125002E+00,+2.81250000E+00,+2.88124990E+00
-49.85000E-03,+2.38125002E+00,+2.78125000E+00,+2.84999990E+00
-49.80000E-03,+2.25625002E+00,+2.81250000E+00,+2.81874990E+00
-49.75000E-03,+2.19375002E+00,+2.81250000E+00,+2.72499990E+00
-49.70000E-03,+2.03750002E+00,+2.78125000E+00,+2.66249990E+00
-49.65000E-03,+1.94375002E+00,+2.75000000E+00,+2.59999990E+00
